rating_id,subscriber_id,title_id,rating,rating_date
1,SUB109184,TTL203909,4,2026-02-06
2,SUB105194,TTL200888,4,2025-03-21
3,SUB102974,TTL200036,3,2024-05-26
4,SUB105612,TTL206358,5,2026-05-22
5,SUB103070,TTL205227,4,2026-05-16
6,SUB105260,TTL206071,4,2026-05-26
7,SUB111009,TTL207340,3,2026-02-03
8,SUB100076,TTL205038,3,2025-04-25
9,SUB105555,TTL202306,3,2026-03-09
10,SUB104160,TTL207081,3,2020-04-06
11,SUB108610,TTL202913,2,2026-05-26
12,SUB101506,TTL201547,5,2026-05-24
13,SUB104921,TTL202344,4,2022-09-20
14,SUB107756,TTL203907,3,2026-03-29
15,SUB112023,TTL204701,5,2026-05-30
16,SUB100959,TTL206974,5,2026-03-14
17,SUB109028,TTL206054,3,2026-02-28
18,SUB102874,TTL207554,4,2019-01-08
19,SUB106520,TTL205842,4,2026-03-28
20,SUB114621,TTL202592,4,2024-11-02
21,SUB110504,TTL205350,5,2025-10-05
22,SUB103133,TTL202563,4,2026-05-18
23,SUB111421,TTL207793,3,2024-04-17
24,SUB114191,TTL203105,4,2026-03-29
25,SUB102798,TTL203850,4,2024-09-06
26,SUB113673,TTL201316,2,2025-05-21
27,SUB103376,TTL206931,3,2023-08-16
28,SUB105020,TTL208379,5,2025-11-05
29,SUB114164,TTL205256,3,2025-05-22
30,SUB110284,TTL207895,4,2026-04-12
31,SUB100803,TTL200941,5,2026-03-16
32,SUB102191,TTL205828,3,2026-05-15
33,SUB107644,TTL208468,4,2025-02-21
34,SUB103063,TTL201777,3,2024-09-17
35,SUB112815,TTL205733,4,2025-11-21
36,SUB110013,TTL204106,3,2026-04-08
37,SUB100647,TTL206974,4,2026-05-01
38,SUB104046,TTL208175,3,2026-04-22
39,SUB100299,TTL208982,5,2023-02-02
40,SUB114313,TTL205873,5,2023-01-24
41,SUB113563,TTL201331,4,2023-07-29
42,SUB108253,TTL205719,3,2026-05-27
43,SUB109767,TTL202771,4,2026-04-23
44,SUB107416,TTL207554,4,2023-01-28
45,SUB101969,TTL200174,4,2025-05-26
