subscriber_id,signup_date,country,region,age,gender,plan_type,monthly_price_usd,household_size,primary_device,payment_method,tenure_months,is_active,churn_date
SUB100000,2023-01-09,France,Europe,22,Female,Basic with Ads,6.99,1,Mobile,Credit Card,41,,
SUB100001,2020-02-05,United Kingdom,Europe,48,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,76,,2022-12-08
SUB100002,2022-04-15,Italy,Europe,35,Male,Standard,15.49,2,Streaming Stick,Gift Card,50,,
SUB100003,2024-10-10,Spain,Europe,49,Female,Basic with Ads,6.99,1,Laptop,Credit Card,19,,
SUB100004,2020-04-12,United States,North America,36,Female,Basic with Ads,6.99,1,Mobile,Credit Card,74,,2021-12-15
SUB100005,2020-10-11,Thailand,Southeast Asia,48,Female,Standard,15.49,1,Laptop,Debit Card,68,,
SUB100006,2023-08-27,France,Europe,32,Male,Basic with Ads,6.99,1,Game Console,Debit Card,33,,2024-10-19
SUB100007,2025-08-13,Germany,Europe,56,Female,Standard,15.49,1,Smart TV,Credit Card,9,,
SUB100008,2022-08-14,United States,North America,42,Female,Standard,15.49,1,Mobile,Debit Card,46,,
SUB100009,2019-07-28,United Kingdom,Europe,25,Male,Basic with Ads,6.99,1,Tablet,Credit Card,83,,2020-07-22
SUB100010,2019-07-25,India,South Asia,44,Female,Premium,22.99,2,Game Console,Credit Card,83,,
SUB100011,2022-06-05,Australia,Oceania,36,Male,Standard,15.49,1,Laptop,Credit Card,48,,
SUB100012,2026-04-06,Brazil,Latin America,33,Female,Premium,22.99,3,Mobile,Credit Card,1,,2026-05-08
SUB100013,2026-01-30,Canada,North America,37,Male,Basic with Ads,6.99,1,Mobile,Credit Card,4,,
SUB100014,2024-03-06,United Kingdom,Europe,45,Male,Standard,15.49,2,Smart TV,Debit Card,27,,
SUB100015,2024-09-08,United States,North America,13,Female,Standard,15.49,2,Laptop,Debit Card,21,,
SUB100016,2022-10-22,Japan,East Asia,31,Female,Premium,22.99,2,Laptop,Debit Card,43,,
SUB100017,2025-04-27,United States,North America,44,Male,Basic with Ads,6.99,1,Mobile,Credit Card,13,,2025-08-06
SUB100018,2019-02-18,Canada,North America,39,Male,Standard,15.49,2,Streaming Stick,Mobile Wallet,88,,2023-03-15
SUB100019,2025-11-19,Brazil,Latin America,21,Female,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,6,,
SUB100020,2021-04-29,France,Europe,13,Male,Premium,22.99,3,Mobile,Credit Card,61,,2023-03-09
SUB100021,2025-06-06,India,South Asia,58,Female,Standard,15.49,2,Laptop,Debit Card,12,,
SUB100022,2024-08-09,Thailand,Southeast Asia,33,Male,Standard,15.49,1,Streaming Stick,Debit Card,22,,
SUB100023,2022-01-27,Turkey,Middle East,55,Male,Standard,15.49,2,Smart TV,Debit Card,52,,
SUB100024,2022-12-28,France,Europe,46,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,41,,
SUB100025,2023-10-18,United States,North America,25,Male,Basic with Ads,6.99,1,Mobile,Debit Card,31,,2025-06-12
SUB100026,2023-06-01,South Korea,East Asia,13,Female,Standard,15.49,2,Laptop,Debit Card,36,,
SUB100027,2026-01-13,United States,North America,29,Male,Standard,15.49,2,Smart TV,Debit Card,4,,2026-03-16
SUB100028,2024-06-22,United States,North America,35,Female,Standard,15.49,2,Mobile,Credit Card,23,,2025-01-20
SUB100029,2020-07-11,Mexico,Latin America,41,Male,Basic with Ads,6.99,1,Smart TV,Debit Card,71,,2024-03-21
SUB100030,2026-01-31,France,Europe,21,Male,Premium,22.99,1,Game Console,Credit Card,4,,
SUB100031,2022-12-08,Thailand,Southeast Asia,38,Male,Premium,22.99,3,Smart TV,Credit Card,42,,
SUB100032,2019-08-06,India,South Asia,38,Female,Premium,22.99,4,Smart TV,Credit Card,83,,
SUB100033,2019-07-17,India,South Asia,48,Female,Standard,15.49,2,Mobile,Debit Card,83,,2023-12-28
SUB100034,2021-09-05,South Korea,East Asia,32,Male,Standard,15.49,2,Smart TV,Credit Card,57,,
SUB100035,2016-08-05,United States,North America,41,Female,Standard,15.49,2,Streaming Stick,Carrier Billing,119,,
SUB100036,2023-03-01,United States,North America,39,Undisclosed,Premium,22.99,3,Laptop,Mobile Wallet,39,,
SUB100037,2016-10-07,South Korea,East Asia,47,Male,Basic with Ads,6.99,1,Laptop,Credit Card,117,,2022-10-12
SUB100038,2021-08-18,United States,North America,25,Male,Premium,22.99,3,Smart TV,Mobile Wallet,58,,
SUB100039,2022-06-17,Mexico,Latin America,13,Female,Standard,15.49,1,Mobile,Credit Card,48,,
SUB100040,2022-05-07,United Kingdom,Europe,32,Female,Standard,15.49,1,Smart TV,Gift Card,49,,
SUB100041,2025-08-18,Canada,North America,32,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,9,,2026-02-04
SUB100042,2017-07-16,Spain,Europe,20,Non-binary,Premium,22.99,4,Mobile,Credit Card,108,,
SUB100043,2024-03-19,India,South Asia,16,Female,Standard,15.49,1,Mobile,Gift Card,26,,
SUB100044,2018-03-02,Canada,North America,28,Male,Standard,15.49,1,Laptop,Debit Card,100,,
SUB100045,2025-05-13,Germany,Europe,34,Male,Standard,15.49,1,Mobile,Credit Card,12,,
SUB100046,2019-07-24,United Kingdom,Europe,37,Male,Premium,22.99,3,Streaming Stick,Mobile Wallet,83,,2024-07-19
SUB100047,2023-03-18,India,South Asia,13,Non-binary,Standard,15.49,2,Mobile,Debit Card,39,,
SUB100048,2024-12-07,Mexico,Latin America,13,Male,Basic with Ads,6.99,1,Mobile,Debit Card,18,,2025-08-12
SUB100049,2025-06-03,United States,North America,50,Female,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,12,,
SUB100050,2025-03-29,United States,North America,33,Male,Standard,15.49,2,Laptop,Credit Card,14,,
SUB100051,2022-12-11,United States,North America,35,Male,Premium,22.99,1,Tablet,Credit Card,42,,
SUB100052,2025-10-22,Germany,Europe,18,Male,Standard,15.49,1,Streaming Stick,Carrier Billing,7,,
SUB100053,2025-05-15,Mexico,Latin America,35,Female,Standard,15.49,2,Smart TV,Credit Card,12,,
SUB100054,2026-01-31,Spain,Europe,31,Male,Basic with Ads,6.99,1,Smart TV,Debit Card,4,,2026-05-29
SUB100055,2024-02-16,Germany,Europe,27,Female,Basic with Ads,6.99,1,Streaming Stick,Credit Card,27,,
SUB100056,2024-08-13,South Korea,East Asia,16,Male,Standard,15.49,2,Mobile,Credit Card,21,,2025-11-01
SUB100057,2021-11-07,Japan,East Asia,24,Female,Standard,15.49,1,Laptop,Credit Card,55,,2023-01-31
SUB100058,2021-03-21,United States,North America,61,Male,Standard,15.49,1,Streaming Stick,Mobile Wallet,63,,
SUB100059,2017-06-10,United States,North America,31,Female,Basic with Ads,6.99,1,Smart TV,PayPal,109,,2023-09-18
SUB100060,2022-09-03,Mexico,Latin America,46,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,45,,
SUB100061,2023-05-02,South Korea,East Asia,33,Male,Standard,15.49,2,Tablet,Gift Card,37,,
SUB100062,2020-02-20,Japan,East Asia,31,Male,Premium,22.99,4,Laptop,Debit Card,76,,2025-09-08
SUB100063,2018-10-07,France,Europe,27,Female,Basic with Ads,6.99,1,Mobile,Carrier Billing,93,,2025-06-25
SUB100064,2023-01-04,Brazil,Latin America,53,Male,Standard,15.49,2,Streaming Stick,Credit Card,41,,
SUB100065,2023-12-05,Japan,East Asia,40,Male,Basic with Ads,6.99,1,Laptop,Carrier Billing,30,,
SUB100066,2026-05-18,Japan,East Asia,25,Male,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,1,,
SUB100067,2025-01-15,India,South Asia,30,Female,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,16,,
SUB100068,2017-11-20,United States,North America,49,Male,Standard,15.49,2,Game Console,Credit Card,103,,
SUB100069,2022-12-13,United Kingdom,Europe,13,Female,Basic with Ads,6.99,1,Streaming Stick,Credit Card,42,,2024-02-13
SUB100070,2017-12-23,United States,North America,40,Male,Standard,15.49,1,Smart TV,PayPal,102,,2026-04-26
SUB100071,2021-01-16,United Kingdom,Europe,42,Female,Standard,15.49,2,Smart TV,Debit Card,65,,
SUB100072,2021-09-01,Canada,North America,26,Male,Premium,22.99,4,Smart TV,Gift Card,57,,2021-12-02
SUB100073,2024-04-18,United States,North America,38,Female,Premium,22.99,4,Smart TV,Debit Card,25,,2024-05-29
SUB100074,2025-05-10,United States,North America,42,Female,Standard,15.49,1,Smart TV,Credit Card,12,,2026-01-14
SUB100075,2022-09-23,India,South Asia,19,Non-binary,Standard,15.49,1,Game Console,Credit Card,44,,2024-07-29
SUB100076,2022-05-09,India,South Asia,46,Male,Standard,15.49,2,Smart TV,Mobile Wallet,49,,
SUB100077,2023-08-12,Mexico,Latin America,39,Male,Standard,15.49,2,Smart TV,Credit Card,34,,
SUB100078,2020-09-26,Japan,East Asia,34,Male,Premium,22.99,2,Streaming Stick,Debit Card,69,,
SUB100079,2021-08-10,Germany,Europe,37,Female,Premium,22.99,3,Smart TV,Gift Card,58,,
SUB100080,2023-12-22,Mexico,Latin America,45,Male,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,29,,
SUB100081,2021-01-05,United Kingdom,Europe,66,Female,Standard,15.49,2,Mobile,Credit Card,65,,
SUB100082,2018-03-07,Germany,Europe,43,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,100,,
SUB100083,2021-10-11,United States,North America,46,Female,Standard,15.49,1,Mobile,Credit Card,56,,2023-06-29
SUB100084,2021-05-10,United States,North America,38,Female,Standard,15.49,1,Mobile,Mobile Wallet,61,,
SUB100085,2020-08-31,United States,North America,60,Female,Premium,22.99,1,Mobile,Debit Card,70,,
SUB100086,2017-08-27,Spain,Europe,16,Female,Standard,15.49,2,Smart TV,Credit Card,106,,
SUB100087,2026-03-29,South Korea,East Asia,13,Male,Standard,15.49,2,Tablet,Credit Card,2,,
SUB100088,2020-06-19,United States,North America,37,Male,Standard,15.49,1,Mobile,PayPal,72,,
SUB100089,2024-02-23,South Korea,East Asia,44,Female,Basic with Ads,6.99,1,Streaming Stick,Credit Card,27,,2025-08-20
SUB100090,2021-08-18,United States,North America,13,Female,Standard,15.49,2,Tablet,PayPal,58,,
SUB100091,2025-12-06,Spain,Europe,35,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,5,,
SUB100092,2018-12-10,United Kingdom,Europe,33,Male,Standard,15.49,1,Tablet,Credit Card,91,,
SUB100093,2025-10-14,United Kingdom,Europe,45,Female,Premium,22.99,3,Smart TV,Debit Card,7,,
SUB100094,2018-02-23,India,South Asia,41,Male,Premium,22.99,4,Smart TV,PayPal,100,,2020-02-07
SUB100095,2025-08-11,Brazil,Latin America,13,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,9,,
SUB100096,2024-12-22,India,South Asia,21,Male,Standard,15.49,2,Tablet,PayPal,17,,
SUB100097,2023-03-20,United States,North America,25,Male,Premium,22.99,2,Mobile,Credit Card,38,,
SUB100098,2024-06-19,United States,North America,45,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,23,,2024-10-07
SUB100099,2019-03-06,Indonesia,Southeast Asia,40,Male,Basic with Ads,6.99,1,Tablet,Debit Card,88,,2022-01-10
SUB100100,2023-10-23,Nigeria,Africa,27,Male,Standard,15.49,2,Streaming Stick,Credit Card,31,,
SUB100101,2025-07-17,Spain,Europe,37,Female,Standard,15.49,1,Game Console,Mobile Wallet,10,,
SUB100102,2026-04-30,India,South Asia,22,Male,Standard,15.49,2,Streaming Stick,Debit Card,1,,
SUB100103,2018-06-13,Thailand,Southeast Asia,62,Female,Premium,22.99,3,Smart TV,Debit Card,97,,
SUB100104,2024-05-15,France,Europe,43,Male,Premium,22.99,4,Mobile,Mobile Wallet,24,,
SUB100105,2020-12-19,Spain,Europe,46,Female,Premium,22.99,3,Smart TV,Mobile Wallet,66,,
SUB100106,2021-05-31,United Kingdom,Europe,53,Male,Premium,22.99,4,Laptop,Debit Card,60,,2024-08-26
SUB100107,2022-01-16,India,South Asia,49,Male,Basic with Ads,6.99,1,Streaming Stick,PayPal,53,,2025-05-27
SUB100108,2023-06-15,United States,North America,36,Male,Basic with Ads,6.99,1,Streaming Stick,Credit Card,36,,
SUB100109,2026-02-14,Nigeria,Africa,33,Female,Premium,22.99,1,Laptop,Debit Card,3,,
SUB100110,2019-08-11,United Kingdom,Europe,52,Female,Premium,22.99,4,Tablet,Debit Card,82,,
SUB100111,2024-06-06,United States,North America,36,Male,Standard,15.49,2,Game Console,Credit Card,24,,
SUB100112,2017-06-26,India,South Asia,26,Male,Basic with Ads,6.99,1,Mobile,Gift Card,108,,
SUB100113,2023-07-11,Japan,East Asia,61,Non-binary,Basic with Ads,6.99,1,Mobile,Credit Card,35,,2024-06-08
SUB100114,2019-06-01,United States,North America,23,Male,Premium,22.99,1,Game Console,Mobile Wallet,85,,
SUB100115,2023-07-28,Italy,Europe,13,Male,Basic with Ads,6.99,1,Mobile,Credit Card,34,,
SUB100116,2024-05-29,France,Europe,48,Undisclosed,Premium,22.99,1,Mobile,Mobile Wallet,24,,
SUB100117,2022-08-31,Spain,Europe,26,Male,Standard,15.49,2,Tablet,Mobile Wallet,45,,
SUB100118,2021-12-31,United Kingdom,Europe,41,Female,Premium,22.99,3,Game Console,Credit Card,53,,
SUB100119,2023-02-01,Brazil,Latin America,59,Male,Basic with Ads,6.99,1,Tablet,Mobile Wallet,40,,
SUB100120,2022-01-09,Japan,East Asia,18,Female,Premium,22.99,1,Mobile,Credit Card,53,,
SUB100121,2025-04-12,Mexico,Latin America,35,Male,Standard,15.49,1,Mobile,Debit Card,13,,
SUB100122,2024-06-26,United States,North America,55,Female,Premium,22.99,3,Smart TV,Debit Card,23,,2025-10-02
SUB100123,2023-04-24,United Kingdom,Europe,44,Undisclosed,Basic with Ads,6.99,1,Smart TV,Carrier Billing,37,,
SUB100124,2023-08-25,United States,North America,33,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,33,,2024-10-20
SUB100125,2022-03-27,South Korea,East Asia,67,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,50,,2023-06-20
SUB100126,2019-07-10,India,South Asia,34,Female,Premium,22.99,2,Laptop,Mobile Wallet,83,,
SUB100127,2020-05-15,United States,North America,41,Male,Basic with Ads,6.99,1,Laptop,Credit Card,73,,
SUB100128,2022-12-05,United States,North America,57,Female,Standard,15.49,2,Smart TV,Gift Card,42,,2023-01-08
SUB100129,2018-08-19,Japan,East Asia,48,Female,Basic with Ads,6.99,1,Smart TV,Carrier Billing,94,,2022-10-11
SUB100130,2025-11-09,United States,North America,53,Male,Standard,15.49,1,Mobile,Mobile Wallet,6,,
SUB100131,2024-12-02,Australia,Oceania,24,Female,Standard,15.49,2,Mobile,Credit Card,18,,
SUB100132,2024-08-18,Japan,East Asia,51,Female,Premium,22.99,1,Tablet,Credit Card,21,,
SUB100133,2024-08-22,India,South Asia,38,Male,Standard,15.49,1,Smart TV,Mobile Wallet,21,,2025-01-12
SUB100134,2018-09-02,Brazil,Latin America,26,Male,Premium,22.99,2,Smart TV,Mobile Wallet,94,,2018-10-11
SUB100135,2022-08-30,United States,North America,38,Female,Standard,15.49,1,Game Console,Credit Card,45,,
SUB100136,2025-10-14,Indonesia,Southeast Asia,38,Male,Basic with Ads,6.99,1,Mobile,PayPal,7,,
SUB100137,2023-12-10,South Korea,East Asia,60,Male,Premium,22.99,4,Smart TV,Credit Card,30,,
SUB100138,2024-05-23,Germany,Europe,40,Female,Standard,15.49,1,Mobile,Debit Card,24,,2025-04-23
SUB100139,2026-05-31,United States,North America,25,Male,Standard,15.49,2,Streaming Stick,PayPal,1,,2026-06-30
SUB100140,2018-05-28,South Korea,East Asia,22,Male,Standard,15.49,2,Game Console,Credit Card,97,,2019-12-28
SUB100141,2020-04-06,South Korea,East Asia,35,Female,Premium,22.99,1,Mobile,Credit Card,74,,2026-05-11
SUB100142,2020-08-18,Argentina,Latin America,18,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,70,,
SUB100143,2023-03-22,Japan,East Asia,26,Female,Basic with Ads,6.99,1,Smart TV,Carrier Billing,38,,2025-01-03
SUB100144,2026-04-10,South Korea,East Asia,32,Male,Premium,22.99,1,Smart TV,Credit Card,1,,
SUB100145,2021-12-18,India,South Asia,30,Male,Standard,15.49,1,Game Console,Credit Card,54,,
SUB100146,2026-02-14,India,South Asia,45,Female,Standard,15.49,1,Tablet,Credit Card,3,,
SUB100147,2017-03-12,South Korea,East Asia,26,Female,Premium,22.99,3,Streaming Stick,Debit Card,112,,
SUB100148,2024-08-11,United Kingdom,Europe,13,Male,Basic with Ads,6.99,1,Mobile,Carrier Billing,21,,
SUB100149,2025-06-28,United States,North America,14,Female,Basic with Ads,6.99,1,Mobile,Mobile Wallet,11,,2025-08-28
SUB100150,2020-08-15,Canada,North America,35,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,70,,
SUB100151,2020-11-02,Turkey,Middle East,28,Non-binary,Premium,22.99,3,Mobile,Credit Card,67,,2025-11-20
SUB100152,2025-04-22,United States,North America,19,Female,Premium,22.99,1,Laptop,Credit Card,13,,
SUB100153,2022-06-15,Japan,East Asia,61,Male,Premium,22.99,1,Smart TV,Credit Card,48,,
SUB100154,2022-12-14,United States,North America,46,Female,Standard,15.49,2,Game Console,Gift Card,42,,
SUB100155,2023-12-25,Mexico,Latin America,35,Female,Standard,15.49,1,Laptop,Debit Card,29,,
SUB100156,2022-06-15,India,South Asia,39,Female,Premium,22.99,1,Smart TV,PayPal,48,,
SUB100157,2024-02-22,Mexico,Latin America,32,Male,Premium,22.99,2,Smart TV,Mobile Wallet,27,,
SUB100158,2020-04-07,Spain,Europe,19,Male,Basic with Ads,6.99,1,Streaming Stick,Credit Card,74,,
SUB100159,2026-01-12,France,Europe,49,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,4,,
SUB100160,2025-11-12,United States,North America,47,Male,Standard,15.49,2,Mobile,Debit Card,6,,
SUB100161,2022-05-12,Nigeria,Africa,13,Male,Premium,22.99,4,Mobile,Mobile Wallet,49,,
